deltaMs,gpsLat,gpsLon,speed,rawLatG,rawLongG
8686,43.04666195,-89.44457702,3.23145889,0.062444303,0.1526637
8741,43.04666195,-89.44457702,3.23145889,-0.113634706,0.2049847
8803,43.04666195,-89.44457702,3.23145889,-0.12280046,0.13168882
8861,43.04666195,-89.44457702,3.23145889,0.001666863,0.08502471
8919,43.04666195,-89.44457702,3.23145889,0.06230224,-0.031031623
8980,43.04666195,-89.44457702,3.23145889,0.13161238,0.011418152
9037,43.04666195,-89.44457702,3.23145889,-0.055062495,0.06986976
9097,43.04666195,-89.44457702,3.23145889,-0.024705097,0.093537316
9157,43.04666195,-89.44457702,3.23145889,0.021940311,0.14537042
9215,43.04666195,-89.44457702,3.23145889,-0.1257583,0.06104273
9272,43.04670377,-89.44457756,3.399079077,-0.041298587,0.04663279
9329,43.04670377,-89.44457756,3.399079077,0.00670871,-0.001938014
9386,43.04670377,-89.44457756,3.399079077,-0.036827944,0.047276106
9443,43.04670377,-89.44457756,3.399079077,-0.01849869,0.03416815
9504,43.04670377,-89.44457756,3.399079077,0.038601685,0.024436966
9565,43.04670377,-89.44457756,3.399079077,0.016950008,0.015127298
9625,43.04670377,-89.44457756,3.399079077,-0.001397323,0.036208298
9683,43.04670377,-89.44457756,3.399079077,0.03934981,0.08335307
9747,43.04670377,-89.44457756,3.399079077,0.047005713,0.012544706
9806,43.04670377,-89.44457756,3.399079077,0.07543648,0.08589193
9866,43.04670377,-89.44457756,3.399079077,0.02896411,0.023353474
9922,43.04670377,-89.44457756,3.399079077,3.52E-04,0.015056764
9979,43.04670377,-89.44457756,3.399079077,0.012256353,-0.04760553
10039,43.04670377,-89.44457756,3.399079077,0.08413988,-0.045764048
10103,43.04670377,-89.44457756,3.399079077,0.021130437,-0.055450816
10162,43.04670377,-89.44457756,3.399079077,-0.027082315,-0.002317565
10223,43.04670377,-89.44457756,3.399079077,-8.92E-04,-0.08674327
10281,43.04675185,-89.44456186,3.599590726,-0.035780545,-0.1324151
10363,43.04675185,-89.44456186,3.599590726,-0.008083301,-0.063365355
10420,43.04675185,-89.44456186,3.599590726,0.010219818,-0.086694226
10481,43.04675185,-89.44456186,3.599590726,0.004828603,-0.119492605
10539,43.04675185,-89.44456186,3.599590726,0.006959097,-0.06710447
10603,43.04675185,-89.44456186,3.599590726,-0.004942768,-0.106740914
10661,43.04675185,-89.44456186,3.599590726,0.013522,-0.06555549
10720,43.04675185,-89.44456186,3.599590726,0.04408005,-0.09662266
10778,43.04675185,-89.44456186,3.599590726,0.02519443,-0.09708014
10834,43.04675185,-89.44456186,3.599590726,0.007948131,-0.14177717
10895,43.04675185,-89.44456186,3.599590726,0.06227327,-0.12572822
10954,43.04675185,-89.44456186,3.599590726,-0.052466657,-0.114756495
11015,43.04675185,-89.44456186,3.599590726,0.010828463,-0.10183076
11074,43.04675185,-89.44456186,3.599590726,-0.019932788,-0.07288087
11132,43.04675185,-89.44456186,3.599590726,0.07652661,-0.08546318
11193,43.04675185,-89.44456186,3.599590726,-0.049855184,-0.14184348
11250,43.04675185,-89.44456186,3.599590726,-0.1080055,-0.1516605
11313,43.04680116,-89.44453701,3.818318431,-0.07014144,-0.11776335
11371,43.04680116,-89.44453701,3.818318431,0.15318032,-0.13579488
11433,43.04680116,-89.44453701,3.818318431,-0.06741322,-0.13039687
11490,43.04680116,-89.44453701,3.818318431,-0.16755952,-0.047326237
11547,43.04680116,-89.44453701,3.818318431,-0.15021585,-0.18209513
11603,43.04680116,-89.44453701,3.818318431,-0.08141798,-0.09180211
11662,43.04680116,-89.44453701,3.818318431,-0.047444843,-0.13747586
11721,43.04680116,-89.44453701,3.818318431,0.056060944,-0.19723712
11781,43.04680116,-89.44453701,3.818318431,-0.096644424,-0.23670018
11841,43.04680116,-89.44453701,3.818318431,0.056616228,-0.077868715
11898,43.04680116,-89.44453701,3.818318431,-0.044650566,-0.057728156
11958,43.04680116,-89.44453701,3.818318431,-0.07553675,-0.09325878
12017,43.04680116,-89.44453701,3.818318431,-0.096763454,-0.08134894
12075,43.04680116,-89.44453701,3.818318431,-0.10140109,-0.09061537
12137,43.04680116,-89.44453701,3.818318431,-0.18513478,-0.075594105
12197,43.04680116,-89.44453701,3.818318431,-0.071402624,-0.10109834
12259,43.04680116,-89.44453701,3.818318431,-0.11578387,-0.031079577
12319,43.04686605,-89.44450542,3.623141518,-0.06507413,-0.10949624
12379,43.04686605,-89.44450542,3.623141518,0.025532713,-0.08074619
12440,43.04686605,-89.44450542,3.623141518,-0.092249624,-0.109886974
12497,43.04686605,-89.44450542,3.623141518,0.042757772,-0.09695991
12555,43.04686605,-89.44450542,3.623141518,0.008432288,-0.122200035
12613,43.04686605,-89.44450542,3.623141518,-0.12308814,-0.08918577
12669,43.04686605,-89.44450542,3.623141518,-0.12471757,0.014763936
12728,43.04686605,-89.44450542,3.623141518,-0.13270335,-0.1102506
12787,43.04686605,-89.44450542,3.623141518,1.17E-04,0.016651245
12848,43.04686605,-89.44450542,3.623141518,-0.052337736,-0.049782176
12907,43.04686605,-89.44450542,3.623141518,-0.04268426,-0.0496276
12972,43.04686605,-89.44450542,3.623141518,-0.06283975,0.029573452
13035,43.04686605,-89.44450542,3.623141518,0.085380234,-0.060792197
13095,43.04686605,-89.44450542,3.623141518,-0.075066365,0.011119518
13158,43.04686605,-89.44450542,3.623141518,-0.086739846,-0.09889954
13217,43.04686605,-89.44450542,3.623141518,-0.056407005,0.009881443
13281,43.04692589,-89.44447837,4.078670639,-0.05175085,-0.001788815
13338,43.04692589,-89.44447837,4.078670639,-0.068106696,-0.018083593
13396,43.04692589,-89.44447837,4.078670639,0.008652766,-0.011807623
13457,43.04692589,-89.44447837,4.078670639,0.07495553,-0.1246181
13516,43.04692589,-89.44447837,4.078670639,-0.049193807,-0.001462989
13573,43.04692589,-89.44447837,4.078670639,-0.014020531,0.001296132
13629,43.04692589,-89.44447837,4.078670639,-0.122887455,-0.075481124
13690,43.04692589,-89.44447837,4.078670639,-0.099057935,-0.100411296
13747,43.04692589,-89.44447837,4.078670639,-0.12735538,0.011626395
13809,43.04692589,-89.44447837,4.078670639,-0.09764979,-0.047228448
13867,43.04692589,-89.44447837,4.078670639,-0.075499706,-0.06386388
13926,43.04692589,-89.44447837,4.078670639,-0.040675502,-0.09243401
13987,43.04692589,-89.44447837,4.078670639,0.08561177,-0.024523512
14046,43.04692589,-89.44447837,4.078670639,-0.011483417,-0.08651264
14106,43.04692589,-89.44447837,4.078670639,0.024781927,-0.16980429
14165,43.04692589,-89.44447837,4.078670639,-0.08061514,-0.104409665
14224,43.04692589,-89.44447837,4.078670639,-0.009808079,-0.19485523
14286,43.04698904,-89.44445589,4.626719939,-0.011335329,0.02314425
14342,43.04698904,-89.44445589,4.626719939,0.07372393,-0.089830905
14398,43.04698904,-89.44445589,4.626719939,0.0779741,-0.098897114
14455,43.04698904,-89.44445589,4.626719939,0.020702906,0.013493295
14519,43.04698904,-89.44445589,4.626719939,0.074570894,-0.17494178
14584,43.04698904,-89.44445589,4.626719939,0.12246982,-0.15376154
14641,43.04698904,-89.44445589,4.626719939,0.18716154,-0.09834572
14699,43.04698904,-89.44445589,4.626719939,0.21525595,-0.10879727
14763,43.04698904,-89.44445589,4.626719939,0.108791605,-0.11669618
14820,43.04698904,-89.44445589,4.626719939,0.25153145,-0.18344899
14883,43.04698904,-89.44445589,4.626719939,0.11554706,-0.12766026
14947,43.04698904,-89.44445589,4.626719939,0.26317194,-0.089346215
15006,43.04698904,-89.44445589,4.626719939,0.26841238,-0.11966866
15066,43.04698904,-89.44445589,4.626719939,0.08028786,-0.21937427
15135,43.04698904,-89.44445589,4.626719939,0.14852794,-0.16757904
15194,43.04698904,-89.44445589,4.626719939,0.09688031,-0.090175025
15257,43.04698904,-89.44445589,4.626719939,0.19267668,-0.11322751
15326,43.04707576,-89.44441959,4.4128848,0.1362474,-0.08917263
15391,43.04707576,-89.44441959,4.4128848,0.22932847,-0.124629885
15450,43.04707576,-89.44441959,4.4128848,0.12993081,0.010254616
15509,43.04707576,-89.44441959,4.4128848,0.066600904,-0.18871209
15569,43.04707576,-89.44441959,4.4128848,0.12608883,-0.17012426
15627,43.04707576,-89.44441959,4.4128848,0.14440785,-0.06508733
15686,43.04707576,-89.44441959,4.4128848,0.15872546,-0.046418834
15751,43.04707576,-89.44441959,4.4128848,0.20519178,-0.04966791
15812,43.04707576,-89.44441959,4.4128848,0.15477097,-0.07665238
15873,43.04707576,-89.44441959,4.4128848,0.14804088,-6.39E-04
15932,43.04707576,-89.44441959,4.4128848,0.18290137,-0.038178183
15994,43.04707576,-89.44441959,4.4128848,0.22503626,-0.10393797
16052,43.04707576,-89.44441959,4.4128848,0.26968193,-0.07536412
16111,43.04707576,-89.44441959,4.4128848,0.15173927,-0.054010015
16170,43.04707576,-89.44441959,4.4128848,0.24526615,-0.036178272
16236,43.04707576,-89.44441959,4.4128848,0.22469996,-0.08987267
16294,43.0471446,-89.44439645,4.881147819,0.18569963,-0.10217871
16350,43.0471446,-89.44439645,4.881147819,0.10311794,-0.04864801
16409,43.0471446,-89.44439645,4.881147819,0.1263577,-0.09014835
16469,43.0471446,-89.44439645,4.881147819,0.13636325,-0.04277969
16534,43.0471446,-89.44439645,4.881147819,0.1252501,-0.059960548
16598,43.0471446,-89.44439645,4.881147819,0.20804425,-0.014750415
16660,43.0471446,-89.44439645,4.881147819,0.26964536,-0.06519014
16720,43.0471446,-89.44439645,4.881147819,0.2845298,-0.09449006
16778,43.0471446,-89.44439645,4.881147819,0.2026778,-0.10409734
16834,43.0471446,-89.44439645,4.881147819,0.08868471,0.016331295
16896,43.0471446,-89.44439645,4.881147819,-0.008661228,-0.02261737
16954,43.0471446,-89.44439645,4.881147819,0.24090746,0.094918616
17013,43.0471446,-89.44439645,4.881147819,0.22717966,-0.005506318
17071,43.0471446,-89.44439645,4.881147819,0.35082737,0.018110234
17131,43.0471446,-89.44439645,4.881147819,0.29914576,0.10800129
17196,43.0471446,-89.44439645,4.881147819,0.17397083,0.103500135
17270,43.04719977,-89.44435858,5.289325212,0.17702001,0.045624025
17326,43.04719977,-89.44435858,5.289325212,0.15166794,0.059528492
17386,43.04719977,-89.44435858,5.289325212,0.19832042,0.19022872
17445,43.04719977,-89.44435858,5.289325212,0.16282474,0.19020306
17513,43.04719977,-89.44435858,5.289325212,0.23365083,0.09580706
17574,43.04719977,-89.44435858,5.289325212,0.27640536,0.10354121
17633,43.04719977,-89.44435858,5.289325212,0.27620456,0.047842354
17697,43.04719977,-89.44435858,5.289325212,0.3000008,0.0551113
17758,43.04719977,-89.44435858,5.289325212,0.22581156,0.087271735
17817,43.04719977,-89.44435858,5.289325212,0.20285128,0.06647821
17877,43.04719977,-89.44435858,5.289325212,0.24202895,0.0585038
17933,43.04719977,-89.44435858,5.289325212,0.24718438,0.087638944
17990,43.04719977,-89.44435858,5.289325212,0.20756301,0.075848304
18047,43.04719977,-89.44435858,5.289325212,0.1411238,0.051348597
18107,43.04719977,-89.44435858,5.289325212,0.19322169,0.049692884
18166,43.04719977,-89.44435858,5.289325212,0.16440994,-0.022129226
18223,43.04719977,-89.44435858,5.289325212,0.15894309,-0.01712711
18284,43.04737432,-89.44415774,6.217668041,0.10586132,0.04411229
18340,43.04737432,-89.44415774,6.217668041,0.13520183,0.0631859
18396,43.04737432,-89.44415774,6.217668041,0.1364257,0.021397563
18453,43.04737432,-89.44415774,6.217668041,0.08089351,-0.005496083
18511,43.04737432,-89.44415774,6.217668041,0.12436965,0.024215516
18572,43.04737432,-89.44415774,6.217668041,0.012330809,0.036055528
18630,43.04737432,-89.44415774,6.217668041,0.053668693,6.50E-04
18689,43.04737432,-89.44415774,6.217668041,0.051704798,-0.012576675
18746,43.04737432,-89.44415774,6.217668041,0.05414721,0.037812088
18806,43.04737432,-89.44415774,6.217668041,0.012385371,-0.006613882
18867,43.04737432,-89.44415774,6.217668041,-0.03909183,0.024557699
18924,43.04737432,-89.44415774,6.217668041,-0.008962567,-0.002097485
18981,43.04737432,-89.44415774,6.217668041,0.033716924,0.03276961
19042,43.04737432,-89.44415774,6.217668041,0.038651895,0.0215239
19102,43.04737432,-89.44415774,6.217668041,0.032579698,-0.028181603
